"applicationNumber","documentId","date","title","phase","pages","fileName","path","url"
"EP20726962","MBU01FLA1M4AJJR","20.06.2025","Decision to grant a European patent","Search / examination","2","20-06-2025_Decision_to_grant_a_European_patent_MBU01FLA1M4AJJR.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\docs\20-06-2025_Decision_to_grant_a_European_patent_MBU01FLA1M4AJJR.pdf","https://register.epo.org/application?documentId=MBU01FLA1M4AJJR&appnumber=EP20726962&showPdfPage=all&proc="
"EP20726962","M7LLTWXI19N4W9D","28.02.2025","Communication about intention to grant a European patent","Search / examination","5","28-02-2025_Communication_about_intention_to_grant_a_European_patent_M7LLTWXI19N4W9D.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\docs\28-02-2025_Communication_about_intention_to_grant_a_European_patent_M7LLTWXI19N4W9D.pdf","https://register.epo.org/application?documentId=M7LLTWXI19N4W9D&appnumber=EP20726962&showPdfPage=all&proc="
"EP20726962","M7L1FRF91GJVC7P","28.02.2025","Text intended for grant (clean copy)","Search / examination","259","28-02-2025_Text_intended_for_grant_(clean_copy)_M7L1FRF91GJVC7P.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\docs\28-02-2025_Text_intended_for_grant_(clean_copy)_M7L1FRF91GJVC7P.pdf","https://register.epo.org/application?documentId=M7L1FRF91GJVC7P&appnumber=EP20726962&showPdfPage=all&proc="
"EP20726962","M7L1G6WYPQZGZZT","28.02.2025","Text intended for grant (version for approval)","Search / examination","259","28-02-2025_Text_intended_for_grant_(version_for_approval)_M7L1G6WYPQZGZZT.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\docs\28-02-2025_Text_intended_for_grant_(version_for_approval)_M7L1G6WYPQZGZZT.pdf","https://register.epo.org/application?documentId=M7L1G6WYPQZGZZT&appnumber=EP20726962&showPdfPage=all&proc="
"EP20726962","M796LN391FUSM8E","17.02.2025","Claims","Search / examination","14","17-02-2025_Claims_M796LN391FUSM8E.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\docs\17-02-2025_Claims_M796LN391FUSM8E.pdf","https://register.epo.org/application?documentId=M796LN391FUSM8E&appnumber=EP20726962&showPdfPage=all&proc="
"EP20726962","M6QKIHK47MJ1FBY","06.02.2025","Communication about intention to grant a European patent","Search / examination","5","06-02-2025_Communication_about_intention_to_grant_a_European_patent_M6QKIHK47MJ1FBY.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\docs\06-02-2025_Communication_about_intention_to_grant_a_European_patent_M6QKIHK47MJ1FBY.pdf","https://register.epo.org/application?documentId=M6QKIHK47MJ1FBY&appnumber=EP20726962&showPdfPage=all&proc="
"EP20726962","M6PMXUB9ORZV0XU","06.02.2025","Text intended for grant (clean copy)","Search / examination","258","06-02-2025_Text_intended_for_grant_(clean_copy)_M6PMXUB9ORZV0XU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\docs\06-02-2025_Text_intended_for_grant_(clean_copy)_M6PMXUB9ORZV0XU.pdf","https://register.epo.org/application?documentId=M6PMXUB9ORZV0XU&appnumber=EP20726962&showPdfPage=all&proc="
"EP20726962","M6PMY9RG1R9JVRW","06.02.2025","Text intended for grant (version for approval)","Search / examination","258","06-02-2025_Text_intended_for_grant_(version_for_approval)_M6PMY9RG1R9JVRW.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\docs\06-02-2025_Text_intended_for_grant_(version_for_approval)_M6PMY9RG1R9JVRW.pdf","https://register.epo.org/application?documentId=M6PMY9RG1R9JVRW&appnumber=EP20726962&showPdfPage=all&proc="
"EP20726962","M2W13QJTLGZDWGD","30.10.2024","Claims","Search / examination","13","30-10-2024_Claims_M2W13QJTLGZDWGD.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\docs\30-10-2024_Claims_M2W13QJTLGZDWGD.pdf","https://register.epo.org/application?documentId=M2W13QJTLGZDWGD&appnumber=EP20726962&showPdfPage=all&proc="
"EP20726962","M2W133YN1IQ7UM8","30.10.2024","Description","Search / examination","51","30-10-2024_Description_M2W133YN1IQ7UM8.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\docs\30-10-2024_Description_M2W133YN1IQ7UM8.pdf","https://register.epo.org/application?documentId=M2W133YN1IQ7UM8&appnumber=EP20726962&showPdfPage=all&proc="
"EP20726962","M2W1392V1P5Q0UV","30.10.2024","Reply to communication from the Examining Division","Search / examination","2","30-10-2024_Reply_to_communication_from_the_Examining_Division_M2W1392V1P5Q0UV.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\docs\30-10-2024_Reply_to_communication_from_the_Examining_Division_M2W1392V1P5Q0UV.pdf","https://register.epo.org/application?documentId=M2W1392V1P5Q0UV&appnumber=EP20726962&showPdfPage=all&proc="
"EP20726962","LYFIQ4HAZLUODRT","15.07.2024","Annex to the communication","Search / examination","5","15-07-2024_Annex_to_the_communication_LYFIQ4HAZLUODRT.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\docs\15-07-2024_Annex_to_the_communication_LYFIQ4HAZLUODRT.pdf","https://register.epo.org/application?documentId=LYFIQ4HAZLUODRT&appnumber=EP20726962&showPdfPage=all&proc="
"EP20726962","LYFIQ4H517HT8SM","15.07.2024","Communication from the Examining Division","Search / examination","2","15-07-2024_Communication_from_the_Examining_Division_LYFIQ4H517HT8SM.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\docs\15-07-2024_Communication_from_the_Examining_Division_LYFIQ4H517HT8SM.pdf","https://register.epo.org/application?documentId=LYFIQ4H517HT8SM&appnumber=EP20726962&showPdfPage=all&proc="
"EP20726962","KW4PT8LJ1WB8FNB","18.11.2021","Amended claims filed after receipt of (European) search report","Search / examination","13","18-11-2021_Amended_claims_filed_after_receipt_of_(European)_search_report_KW4PT8LJ1WB8FNB.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\docs\18-11-2021_Amended_claims_filed_after_receipt_of_(European)_search_report_KW4PT8LJ1WB8FNB.pdf","https://register.epo.org/application?documentId=KW4PT8LJ1WB8FNB&appnumber=EP20726962&showPdfPage=all&proc="
"EP20726962","E5KSDWYL2187DSU","26.11.2020","Published international application - A1","Search / examination","341","26-11-2020_Published_international_application_-_A1_E5KSDWYL2187DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\docs\26-11-2020_Published_international_application_-_A1_E5KSDWYL2187DSU.pdf","https://register.epo.org/application?documentId=E5KSDWYL2187DSU&appnumber=EP20726962&showPdfPage=all&proc="
