"applicationNumber","documentId","date","title","phase","pages","fileName","path","url"
"EP16823054","E5YA3YJI3435DSU","12.03.2021","Decision to grant a European patent","Search / examination","2","12-03-2021_Decision_to_grant_a_European_patent_E5YA3YJI3435DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\docs\12-03-2021_Decision_to_grant_a_European_patent_E5YA3YJI3435DSU.pdf","https://register.epo.org/application?documentId=E5YA3YJI3435DSU&appnumber=EP16823054&showPdfPage=all&proc="
"EP16823054","E5H16G0Q2909DSU","19.11.2020","Communication about intention to grant a European patent","Search / examination","5","19-11-2020_Communication_about_intention_to_grant_a_European_patent_E5H16G0Q2909DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\docs\19-11-2020_Communication_about_intention_to_grant_a_European_patent_E5H16G0Q2909DSU.pdf","https://register.epo.org/application?documentId=E5H16G0Q2909DSU&appnumber=EP16823054&showPdfPage=all&proc="
"EP16823054","E5H5RZ7G0050DSU","19.11.2020","Text intended for grant (clean copy)","Search / examination","98","19-11-2020_Text_intended_for_grant_(clean_copy)_E5H5RZ7G0050DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\docs\19-11-2020_Text_intended_for_grant_(clean_copy)_E5H5RZ7G0050DSU.pdf","https://register.epo.org/application?documentId=E5H5RZ7G0050DSU&appnumber=EP16823054&showPdfPage=all&proc="
"EP16823054","E5H5R0517042DSU","19.11.2020","Text intended for grant (version for approval)","Search / examination","98","19-11-2020_Text_intended_for_grant_(version_for_approval)_E5H5R0517042DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\docs\19-11-2020_Text_intended_for_grant_(version_for_approval)_E5H5R0517042DSU.pdf","https://register.epo.org/application?documentId=E5H5R0517042DSU&appnumber=EP16823054&showPdfPage=all&proc="
"EP16823054","E5D2P46T2704DSU","14.10.2020","Description","Search / examination","1","14-10-2020_Description_E5D2P46T2704DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\docs\14-10-2020_Description_E5D2P46T2704DSU.pdf","https://register.epo.org/application?documentId=E5D2P46T2704DSU&appnumber=EP16823054&showPdfPage=all&proc="
"EP16823054","E5BY2ILK3684DSU","07.10.2020","Communication about intention to grant a European patent","Search / examination","5","07-10-2020_Communication_about_intention_to_grant_a_European_patent_E5BY2ILK3684DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\docs\07-10-2020_Communication_about_intention_to_grant_a_European_patent_E5BY2ILK3684DSU.pdf","https://register.epo.org/application?documentId=E5BY2ILK3684DSU&appnumber=EP16823054&showPdfPage=all&proc="
"EP16823054","E5BZ6AVL0357DSU","07.10.2020","Text intended for grant (clean copy)","Search / examination","98","07-10-2020_Text_intended_for_grant_(clean_copy)_E5BZ6AVL0357DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\docs\07-10-2020_Text_intended_for_grant_(clean_copy)_E5BZ6AVL0357DSU.pdf","https://register.epo.org/application?documentId=E5BZ6AVL0357DSU&appnumber=EP16823054&showPdfPage=all&proc="
"EP16823054","E5BZ6BXM4848DSU","07.10.2020","Text intended for grant (version for approval)","Search / examination","98","07-10-2020_Text_intended_for_grant_(version_for_approval)_E5BZ6BXM4848DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\docs\07-10-2020_Text_intended_for_grant_(version_for_approval)_E5BZ6BXM4848DSU.pdf","https://register.epo.org/application?documentId=E5BZ6BXM4848DSU&appnumber=EP16823054&showPdfPage=all&proc="
"EP16823054","E453Q0P71436DSU","19.08.2020","Claims","Search / examination","7","19-08-2020_Claims_E453Q0P71436DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\docs\19-08-2020_Claims_E453Q0P71436DSU.pdf","https://register.epo.org/application?documentId=E453Q0P71436DSU&appnumber=EP16823054&showPdfPage=all&proc="
"EP16823054","E4V18TVG9442DSU","19.06.2020","Communication about intention to grant a European patent","Search / examination","5","19-06-2020_Communication_about_intention_to_grant_a_European_patent_E4V18TVG9442DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\docs\19-06-2020_Communication_about_intention_to_grant_a_European_patent_E4V18TVG9442DSU.pdf","https://register.epo.org/application?documentId=E4V18TVG9442DSU&appnumber=EP16823054&showPdfPage=all&proc="
"EP16823054","E4V5FU450121DSU","19.06.2020","Text intended for grant (clean copy)","Search / examination","98","19-06-2020_Text_intended_for_grant_(clean_copy)_E4V5FU450121DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\docs\19-06-2020_Text_intended_for_grant_(clean_copy)_E4V5FU450121DSU.pdf","https://register.epo.org/application?documentId=E4V5FU450121DSU&appnumber=EP16823054&showPdfPage=all&proc="
"EP16823054","E4V5FV8W2673DSU","19.06.2020","Text intended for grant (version for approval)","Search / examination","98","19-06-2020_Text_intended_for_grant_(version_for_approval)_E4V5FV8W2673DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\docs\19-06-2020_Text_intended_for_grant_(version_for_approval)_E4V5FV8W2673DSU.pdf","https://register.epo.org/application?documentId=E4V5FV8W2673DSU&appnumber=EP16823054&showPdfPage=all&proc="
"EP16823054","E2QX6V6C2729DSU","18.12.2018","Claims","Search / examination","7","18-12-2018_Claims_E2QX6V6C2729DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\docs\18-12-2018_Claims_E2QX6V6C2729DSU.pdf","https://register.epo.org/application?documentId=E2QX6V6C2729DSU&appnumber=EP16823054&showPdfPage=all&proc="
"EP16823054","E1Z097BI3726DSU","13.06.2018","Amended claims filed after receipt of (European) search report","Search / examination","6","13-06-2018_Amended_claims_filed_after_receipt_of_(European)_search_report_E1Z097BI3726DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\docs\13-06-2018_Amended_claims_filed_after_receipt_of_(European)_search_report_E1Z097BI3726DSU.pdf","https://register.epo.org/application?documentId=E1Z097BI3726DSU&appnumber=EP16823054&showPdfPage=all&proc="
"EP16823054","E0NTHZZ28927DSU","06.07.2017","Published international application - A1","Search / examination","100","06-07-2017_Published_international_application_-_A1_E0NTHZZ28927DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\docs\06-07-2017_Published_international_application_-_A1_E0NTHZZ28927DSU.pdf","https://register.epo.org/application?documentId=E0NTHZZ28927DSU&appnumber=EP16823054&showPdfPage=all&proc="
