"applicationNumber","documentId","date","title","phase","pages","fileName","path","url"
"EP12710797","E069PW6Y9825DSU","30.11.2017","Decision to grant a European patent","Search / examination","2","30-11-2017_Decision_to_grant_a_European_patent_E069PW6Y9825DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP12710797\docs\30-11-2017_Decision_to_grant_a_European_patent_E069PW6Y9825DSU.pdf","https://register.epo.org/application?documentId=E069PW6Y9825DSU&appnumber=EP12710797&showPdfPage=all&proc="
"EP12710797","EZ67GOPF1671DSU","24.03.2017","Communication about intention to grant a European patent","Search / examination","5","24-03-2017_Communication_about_intention_to_grant_a_European_patent_EZ67GOPF1671DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP12710797\docs\24-03-2017_Communication_about_intention_to_grant_a_European_patent_EZ67GOPF1671DSU.pdf","https://register.epo.org/application?documentId=EZ67GOPF1671DSU&appnumber=EP12710797&showPdfPage=all&proc="
"EP12710797","EZ69LH4F9917DSU","24.03.2017","Text intended for grant (clean copy)","Search / examination","103","24-03-2017_Text_intended_for_grant_(clean_copy)_EZ69LH4F9917DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP12710797\docs\24-03-2017_Text_intended_for_grant_(clean_copy)_EZ69LH4F9917DSU.pdf","https://register.epo.org/application?documentId=EZ69LH4F9917DSU&appnumber=EP12710797&showPdfPage=all&proc="
"EP12710797","EZ67GTPN6726228","24.03.2017","Text intended for grant (sequence listing)","Search / examination","268","24-03-2017_Text_intended_for_grant_(sequence_listing)_EZ67GTPN6726228.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP12710797\docs\24-03-2017_Text_intended_for_grant_(sequence_listing)_EZ67GTPN6726228.pdf","https://register.epo.org/application?documentId=EZ67GTPN6726228&appnumber=EP12710797&showPdfPage=all&proc="
"EP12710797","EZ69LKN52690DSU","24.03.2017","Text intended for grant (version for approval)","Search / examination","103","24-03-2017_Text_intended_for_grant_(version_for_approval)_EZ69LKN52690DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP12710797\docs\24-03-2017_Text_intended_for_grant_(version_for_approval)_EZ69LKN52690DSU.pdf","https://register.epo.org/application?documentId=EZ69LKN52690DSU&appnumber=EP12710797&showPdfPage=all&proc="
"EP12710797","EZK6D2J13229DSU","13.10.2016","Amended claims with annotations","Search / examination","23","13-10-2016_Amended_claims_with_annotations_EZK6D2J13229DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP12710797\docs\13-10-2016_Amended_claims_with_annotations_EZK6D2J13229DSU.pdf","https://register.epo.org/application?documentId=EZK6D2J13229DSU&appnumber=EP12710797&showPdfPage=all&proc="
"EP12710797","EZK6D2TL7828DSU","13.10.2016","Claims","Search / examination","12","13-10-2016_Claims_EZK6D2TL7828DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP12710797\docs\13-10-2016_Claims_EZK6D2TL7828DSU.pdf","https://register.epo.org/application?documentId=EZK6D2TL7828DSU&appnumber=EP12710797&showPdfPage=all&proc="
"EP12710797","EZK6D15C9526DSU","13.10.2016","Reply to communication from the Examining Division","Search / examination","6","13-10-2016_Reply_to_communication_from_the_Examining_Division_EZK6D15C9526DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP12710797\docs\13-10-2016_Reply_to_communication_from_the_Examining_Division_EZK6D15C9526DSU.pdf","https://register.epo.org/application?documentId=EZK6D15C9526DSU&appnumber=EP12710797&showPdfPage=all&proc="
"EP12710797","EYS6YDER6021DSU","05.04.2016","Annex to the communication","Search / examination","1","05-04-2016_Annex_to_the_communication_EYS6YDER6021DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP12710797\docs\05-04-2016_Annex_to_the_communication_EYS6YDER6021DSU.pdf","https://register.epo.org/application?documentId=EYS6YDER6021DSU&appnumber=EP12710797&showPdfPage=all&proc="
"EP12710797","EYS6YDBI1779DSU","05.04.2016","Communication from the Examining Division","Search / examination","2","05-04-2016_Communication_from_the_Examining_Division_EYS6YDBI1779DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP12710797\docs\05-04-2016_Communication_from_the_Examining_Division_EYS6YDBI1779DSU.pdf","https://register.epo.org/application?documentId=EYS6YDBI1779DSU&appnumber=EP12710797&showPdfPage=all&proc="
